Eval Setting,Service,active_intent_accuracy,requested_slots_f1,requested_slots_precision,requested_slots_recall,slot_tagging_f1,slot_tagging_precision,slot_tagging_recall,average_goal_accuracy,average_cat_accuracy,joint_goal_accuracy,joint_cat_accuracy,joint_noncat_accuracy,average_noncat_accuracy
default,#ALL_SERVICES,1.0,0.9740518962075848,1.0,0.9740518962075848,0.9385113268608414,0.9439955041373564,0.965796562215375,0.5858373312810143,0.629417263745622,0.0450027129679869,0.0927835051546391,0.273062276180141,0.5482648203823619
default,#SEEN_SERVICES,1.0,0.9740518962075848,1.0,0.9740518962075848,0.9385113268608414,0.9439955041373564,0.965796562215375,0.5858373312810143,0.629417263745622,0.0450027129679869,0.0927835051546391,0.273062276180141,0.5482648203823619
default,attraction,1.0,0.9386869234943028,1.0,0.9386869234943028,0.98290830168204,1.0,0.98290830168204,0.3259441707717569,0.4717402082300446,0.2863537710255019,0.3228431904503527,0.8168746608790016,0.0
default,bus,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,1.0,,
default,hospital,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,1.0,,
default,hotel,1.0,0.9666259666259668,1.0,0.9666259666259668,0.9712386379053046,0.9742233075566408,0.9811423144756478,0.4779297106915924,0.4095857611680396,0.4996715371048704,0.5037308370641704,0.8752911409578077,0.7849322879543834
default,restaurant,1.0,0.9670374389582204,1.0,0.9670374389582204,0.8100922409115573,0.8109061313076505,0.8913456321215409,0.8233655510866147,0.7481610530391019,0.4635464186231687,0.5488334237655995,0.6624649916125339,0.9169015039447732
default,taxi,1.0,0.9928106348345088,1.0,0.9928106348345088,0.8894465545306566,0.9017905588714054,0.9654096581660336,0.3832126168224298,,0.5795325576436468,,0.5795325576436468,0.3832126168224298
default,train,1.0,0.9532013022246336,1.0,0.9532013022246336,0.9158979924036896,0.9210526315789472,0.9397721106890938,0.7075597175141243,0.8101097533378593,0.3241055881728161,0.4540151926207271,0.7124264881456863,0.3588897606904668
nocross,#ALL_SERVICES,1.0,0.9740518962075848,1.0,0.9740518962075848,0.9385113268608414,0.9439955041373564,0.965796562215375,0.4870429757795981,0.629417263745622,0.5855861093347287,0.6382401483122697,0.6781790064841694,0.2596650477952513
nocross,#SEEN_SERVICES,1.0,0.9740518962075848,1.0,0.9740518962075848,0.9385113268608414,0.9439955041373564,0.965796562215375,0.4870429757795981,0.629417263745622,0.5855861093347287,0.6382401483122697,0.6781790064841694,0.2596650477952513
nocross,attraction,1.0,0.9386869234943028,1.0,0.9386869234943028,0.98290830168204,1.0,0.98290830168204,0.3259441707717569,0.4717402082300446,0.2863537710255019,0.3228431904503527,0.8168746608790016,0.0
nocross,bus,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,1.0,,
nocross,hospital,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,1.0,,
nocross,hotel,1.0,0.9666259666259668,1.0,0.9666259666259668,0.9712386379053046,0.9742233075566408,0.9811423144756478,0.3718450234292583,0.4095857611680396,0.4947768281101614,0.5037308370641704,0.7651607651607651,0.1703492516037063
nocross,restaurant,1.0,0.9670374389582204,1.0,0.9670374389582204,0.8100922409115573,0.8109061313076505,0.8913456321215409,0.5898215733982157,0.7481610530391019,0.4205100379815518,0.5488334237655995,0.5286218122626153,0.4347879684418145
nocross,taxi,1.0,0.9928106348345088,1.0,0.9928106348345088,0.8894465545306566,0.9017905588714054,0.9654096581660336,0.1673156801661474,,0.5778621812262615,,0.5778621812262615,0.1673156801661474
nocross,train,1.0,0.9532013022246336,1.0,0.9532013022246336,0.9158979924036896,0.9210526315789472,0.9397721106890938,0.6904802259887006,0.8101097533378593,0.3195876288659793,0.4540151926207271,0.7023874118285405,0.2838367987446057
nofuzzy,#ALL_SERVICES,1.0,0.9740518962075848,1.0,0.9740518962075848,0.9385113268608414,0.9439955041373564,0.965796562215375,0.4870429757795981,0.629417263745622,0.036218122626153,0.0927835051546391,0.1770211611502984,0.2596650477952513
nofuzzy,#SEEN_SERVICES,1.0,0.9740518962075848,1.0,0.9740518962075848,0.9385113268608414,0.9439955041373564,0.965796562215375,0.4870429757795981,0.629417263745622,0.036218122626153,0.0927835051546391,0.1770211611502984,0.2596650477952513
nofuzzy,attraction,1.0,0.9386869234943028,1.0,0.9386869234943028,0.98290830168204,1.0,0.98290830168204,0.3259441707717569,0.4717402082300446,0.2863537710255019,0.3228431904503527,0.8168746608790016,0.0
nofuzzy,bus,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,1.0,,
nofuzzy,hospital,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,1.0,,
nofuzzy,hotel,1.0,0.9666259666259668,1.0,0.9666259666259668,0.9712386379053046,0.9742233075566408,0.9811423144756478,0.3718450234292583,0.4095857611680396,0.4947768281101614,0.5037308370641704,0.7651607651607651,0.1703492516037063
nofuzzy,restaurant,1.0,0.9670374389582204,1.0,0.9670374389582204,0.8100922409115573,0.8109061313076505,0.8913456321215409,0.5898215733982157,0.7481610530391019,0.4205100379815518,0.5488334237655995,0.5286218122626153,0.4347879684418145
nofuzzy,taxi,1.0,0.9928106348345088,1.0,0.9928106348345088,0.8894465545306566,0.9017905588714054,0.9654096581660336,0.1673156801661474,,0.5778621812262615,,0.5778621812262615,0.1673156801661474
nofuzzy,train,1.0,0.9532013022246336,1.0,0.9532013022246336,0.9158979924036896,0.9210526315789472,0.9397721106890938,0.6904802259887006,0.8101097533378593,0.3195876288659793,0.4540151926207271,0.7023874118285405,0.2838367987446057
