Service,active_intent_accuracy,requested_slots_f1,requested_slots_precision,requested_slots_recall,slot_tagging_f1,slot_tagging_precision,slot_tagging_recall,average_goal_accuracy,average_noncat_accuracy,joint_goal_accuracy,joint_cat_accuracy,joint_noncat_accuracy,joint_map_goal_accuracy,joint_map_cat_accuracy,joint_map_noncat_accuracy,joint_nonmap_goal_accuracy,joint_nonmap_cat_accuracy,joint_nonmap_noncat_accuracy,average_cat_accuracy
#ALL_SERVICES,1.0,0.974023331524688,1.0,0.974023331524688,0.9501435612226443,0.9545662642430819,0.9735146500271297,0.607900892217325,0.6781904960152255,0.07910008138903961,0.1961475854584916,0.28455584034183395,0.21022750949538796,0.3800868149755833,0.43436612791644064,0.21289142702116115,0.32664134563212155,0.6072321758003256,0.6085514599823232
#SEEN_SERVICES,1.0,0.974023331524688,1.0,0.974023331524688,0.9501435612226443,0.9545662642430819,0.9735146500271297,0.607900892217325,0.6781904960152255,0.07910008138903961,0.1961475854584916,0.28455584034183395,0.21022750949538796,0.3800868149755833,0.43436612791644064,0.21289142702116115,0.32664134563212155,0.6072321758003256,0.6085514599823232
attraction,1.0,0.9305480195333695,1.0,0.9305480195333695,0.9820944112859469,1.0,0.9820944112859469,0.26558432662008497,0.0,0.6893651654910472,0.7406402604449267,0.8171459576776994,0.7414541508410201,0.8440043407487792,0.8171459576776994,0.7973412913727618,0.7973412913727618,1.0,0.3819444444444444
bus,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,,,,1.0,1.0,1.0,
hospital,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,,1.0,,,,1.0,,1.0,
hotel,1.0,0.9610689093868693,1.0,0.9610689093868693,0.9713781877373847,0.9742268041237113,0.9801953336950624,0.4604105778194843,0.7870165394402036,0.499413958220293,0.5031199131850245,0.8901239962018448,0.6271665626695606,0.6819045035268584,0.8901239962018448,0.6603364080303853,0.6603364080303853,1.0,0.38423665528095907
police,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,,,,1.0,1.0,1.0,
restaurant,1.0,0.9618827997829625,1.0,0.9618827997829625,0.8586543678784591,0.8602821486706457,0.9382799782962561,0.8366896041988472,0.909860103626943,0.47748404778214865,0.5397449810092241,0.7459929749674444,0.5362205512072707,0.6304937601736299,0.7459929749674444,0.7860824742268041,0.7860824742268041,1.0,0.8129523445463812
taxi,1.0,0.9918610960390667,1.0,0.9918610960390667,0.951709169831796,0.9629679869777537,0.9556429734129137,0.6177239583333334,0.6177239583333334,0.9063408532781334,,0.9063408532781334,0.9475191128594682,,0.9475191128594682,0.9108735443950081,,0.9108735443950081,
train,1.0,0.946825827455236,1.0,0.946825827455236,0.8373123530475675,0.8390531741725448,0.9319045035268584,0.7953880402806065,0.792932521997486,0.3179265926912643,0.5964460119370592,0.538874707959848,0.4957191279096582,0.6752577319587629,0.7592163055778621,0.6734103467173087,0.8878187737384698,0.6853606690179056,0.7791353383458647
