Service,active_intent_accuracy,requested_slots_f1,requested_slots_precision,requested_slots_recall,slot_tagging_f1,slot_tagging_precision,slot_tagging_recall,average_goal_accuracy,average_noncat_accuracy,joint_goal_accuracy,joint_cat_accuracy,joint_noncat_accuracy,joint_map_goal_accuracy,joint_map_cat_accuracy,joint_map_noncat_accuracy,joint_nonmap_goal_accuracy,joint_nonmap_cat_accuracy,joint_nonmap_noncat_accuracy,average_cat_accuracy
#ALL_SERVICES,1.0,0.974023331524688,1.0,0.974023331524688,0.9561799149936698,0.9593309142702117,0.9735146500271297,0.6171111076526363,0.7516691447603187,0.10792707325013565,0.22042864894194247,0.3776947618014107,0.3187698941942485,0.49416711882799785,0.5412401085187194,0.21289142702116115,0.32664134563212155,0.6072321758003256,0.5598465022523188
#SEEN_SERVICES,1.0,0.974023331524688,1.0,0.974023331524688,0.9561799149936698,0.9593309142702117,0.9735146500271297,0.6171111076526363,0.7516691447603187,0.10792707325013565,0.22042864894194247,0.3776947618014107,0.3187698941942485,0.49416711882799785,0.5412401085187194,0.21289142702116115,0.32664134563212155,0.6072321758003256,0.5598465022523188
attraction,1.0,0.9305480195333695,1.0,0.9305480195333695,0.960119370591427,0.9660879001627781,0.9820944112859469,0.4344862309905467,0.5845845697329377,0.703068950081389,0.75,0.847575827455236,0.7674500949538795,0.8579761258817146,0.847575827455236,0.7973412913727618,0.7973412913727618,1.0,0.3501984126984127
bus,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,,,,1.0,1.0,1.0,
hospital,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,,1.0,,,,1.0,,1.0,
hotel,1.0,0.9610689093868693,1.0,0.9610689093868693,0.9715138361367336,0.9743624525230602,0.9801953336950624,0.47525908650425647,0.79,0.6481609061313077,0.6530113944655453,0.891498317959848,0.7934998372219207,0.8543136190992946,0.891498317959848,0.6603364080303853,0.6603364080303853,1.0,0.403320775567611
police,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,,,,1.0,1.0,1.0,
restaurant,1.0,0.9618827997829625,1.0,0.9618827997829625,0.9051817688551275,0.9074877916440586,0.9382799782962561,0.8135448785024997,0.9156088082901555,0.6547018990775909,0.6857026587086272,0.8593944263700488,0.7068535539880629,0.7711611502984265,0.8593944263700488,0.7860824742268041,0.7860824742268041,1.0,0.7793832823649337
taxi,1.0,0.9918610960390667,1.0,0.9918610960390667,0.9522517634291915,0.9644601193705914,0.9556429734129137,0.5482369791666667,0.5482369791666667,0.9086759336698862,,0.9086759336698862,0.9432322300596853,,0.9432322300596853,0.9108735443950081,,0.9108735443950081,
train,1.0,0.946825827455236,1.0,0.946825827455236,0.8603725809368782,0.8622490504612046,0.9319045035268584,0.7163450441276307,0.7443900697063193,0.641107967018765,0.8123982637004883,0.6542309537534369,0.7879111291806836,0.8814432989690721,0.8457837107433532,0.6734103467173087,0.8878187737384698,0.6853606690179056,0.6422932330827068
